2018-12-26 22:31:34.7803 Info Starting Jackett v0.10.554.0 
2018-12-26 22:31:35.7406 Info Environment version: 4.0.30319.42000 (/usr/lib/mono/4.5) 
2018-12-26 22:31:35.7423 Info OS version: Unix 4.15.0.39 (64bit OS) (64bit process) 
2018-12-26 22:31:35.7423 Info ThreadPool MaxThreads: 3200 workerThreads, 200 completionPortThreads 
2018-12-26 22:31:35.7423 Info App config/log directory: /config/Jackett 
2018-12-26 22:31:35.7423 Info issue: Ubuntu 16.04.5 LTS \n \l 
2018-12-26 22:31:35.7423 Info mono version: 5.16.0.220 (tarball Mon Nov 26 17:22:46 UTC 2018) 
2018-12-26 22:31:35.8321 Info TrustedRootCertificates count: 148 
2018-12-26 22:31:35.8347 Info Using HTTP Client: HttpWebClient 
2018-12-26 22:31:36.0379 Info Loading Cardigann definitions from: /config/cardigann/definitions/, /etc/xdg/cardigan/definitions/, /app/Jackett/Definitions 
2018-12-26 22:31:36.0580 Info Loading Cardigann definition /app/Jackett/Definitions/1337x.yml 
2018-12-26 22:31:36.1320 Info Loading Cardigann definition /app/Jackett/Definitions/2fast4you.yml 
2018-12-26 22:31:36.1438 Info Loading Cardigann definition /app/Jackett/Definitions/3dtorrents.yml 
2018-12-26 22:31:36.1486 Info Loading Cardigann definition /app/Jackett/Definitions/420files.yml 
2018-12-26 22:31:36.1580 Info Loading Cardigann definition /app/Jackett/Definitions/Bittorrentfiles.yml 
2018-12-26 22:31:36.1667 Info Loading Cardigann definition /app/Jackett/Definitions/acidlounge.yml 
2018-12-26 22:31:36.1754 Info Loading Cardigann definition /app/Jackett/Definitions/anidex.yml 
2018-12-26 22:31:36.1798 Info Loading Cardigann definition /app/Jackett/Definitions/anirena.yml 
2018-12-26 22:31:36.1830 Info Loading Cardigann definition /app/Jackett/Definitions/aox.yml 
2018-12-26 22:31:36.1892 Info Loading Cardigann definition /app/Jackett/Definitions/arabafenice.yml 
2018-12-26 22:31:36.1990 Info Loading Cardigann definition /app/Jackett/Definitions/archetorrent.yml 
